15.65,-4,1,-3,4,1.1226
15.65,-4,1,-1,-3,1.1226
15.036,-4,2,-2,-2,1.0785
15.036,-4,2,-2,4,1.0785
15.65,-4,3,-3,-1,1.1226
15.65,-4,3,-1,4,1.1226
15.65,-3,-1,-4,3,1.1226
15.65,-3,-1,1,-4,1.1226
13.0216,-3,0,-3,3,0.93404
13.0216,-3,0,0,-3,0.93404
11.4839,-3,1,-2,3,0.82374
11.4839,-3,1,-1,-2,0.82374
11.4839,-3,2,-2,-1,0.82374
11.4839,-3,2,-1,3,0.82374
13.0216,-3,3,-3,0,0.93404
13.0216,-3,3,0,3,0.93404
15.65,-3,4,-4,1,1.1226
15.65,-3,4,1,3,1.1226
15.036,-2,-2,-4,2,1.0785
15.036,-2,-2,2,-4,1.0785
11.4839,-2,-1,-3,2,0.82374
11.4839,-2,-1,1,-3,0.82374
8.681,-2,0,-2,2,0.62269
8.681,-2,0,0,-2,0.62269
7.518,-2,1,-1,-1,0.53927
7.518,-2,1,-1,2,0.53927
8.681,-2,2,-2,0,0.62269
8.681,-2,2,0,2,0.62269
11.4839,-2,3,-3,1,0.82374
11.4839,-2,3,1,2,0.82374
15.036,-2,4,-4,2,1.0785
15.036,-2,4,2,2,1.0785
15.65,-1,-3,-4,1,1.1226
15.65,-1,-3,3,-4,1.1226
11.4839,-1,-2,-3,1,0.82374
11.4839,-1,-2,2,-3,0.82374
7.518,-1,-1,-2,1,0.53927
7.518,-1,-1,1,-2,0.53927
4.3405,-1,0,-1,1,0.31135
4.3405,-1,0,0,-1,0.31135
4.3405,-1,1,-1,0,0.31135
4.3405,-1,1,0,1,0.31135
7.518,-1,2,-2,1,0.53927
7.518,-1,2,1,1,0.53927
11.4839,-1,3,-3,2,0.82374
11.4839,-1,3,2,1,0.82374
15.65,-1,4,-4,3,1.1226
15.65,-1,4,3,1,1.1226
13.0216,0,-3,-3,0,0.93404
13.0216,0,-3,3,-3,0.93404
8.681,0,-2,-2,0,0.62269
8.681,0,-2,2,-2,0.62269
4.3405,0,-1,-1,0,0.31135
4.3405,0,-1,1,-1,0.31135
4.3405,0,1,-1,1,0.31135
4.3405,0,1,1,0,0.31135
8.681,0,2,-2,2,0.62269
8.681,0,2,2,0,0.62269
13.0216,0,3,-3,3,0.93404
13.0216,0,3,3,0,0.93404
15.65,1,-4,-3,-1,1.1226
15.65,1,-4,4,-3,1.1226
11.4839,1,-3,-2,-1,0.82374
11.4839,1,-3,3,-2,0.82374
7.518,1,-2,-1,-1,0.53927
7.518,1,-2,2,-1,0.53927
4.3405,1,-1,0,-1,0.31135
4.3405,1,-1,1,0,0.31135
4.3405,1,0,0,1,0.31135
4.3405,1,0,1,-1,0.31135
7.518,1,1,-1,2,0.53927
7.518,1,1,2,-1,0.53927
11.4839,1,2,-2,3,0.82374
11.4839,1,2,3,-1,0.82374
15.65,1,3,-3,4,1.1226
15.65,1,3,4,-1,1.1226
15.036,2,-4,-2,-2,1.0785
15.036,2,-4,4,-2,1.0785
11.4839,2,-3,-1,-2,0.82374
11.4839,2,-3,3,-1,0.82374
8.681,2,-2,0,-2,0.62269
8.681,2,-2,2,0,0.62269
7.518,2,-1,1,-2,0.53927
7.518,2,-1,1,1,0.53927
8.681,2,0,0,2,0.62269
8.681,2,0,2,-2,0.62269
11.4839,2,1,-1,3,0.82374
11.4839,2,1,3,-2,0.82374
15.036,2,2,-2,4,1.0785
15.036,2,2,4,-2,1.0785
15.65,3,-4,-1,-3,1.1226
15.65,3,-4,4,-1,1.1226
13.0216,3,-3,0,-3,0.93404
13.0216,3,-3,3,0,0.93404
11.4839,3,-2,1,-3,0.82374
11.4839,3,-2,2,1,0.82374
11.4839,3,-1,1,2,0.82374
11.4839,3,-1,2,-3,0.82374
13.0216,3,0,0,3,0.93404
13.0216,3,0,3,-3,0.93404
15.65,3,1,-1,4,1.1226
15.65,3,1,4,-3,1.1226
15.65,4,-3,1,-4,1.1226
15.65,4,-3,3,1,1.1226
15.036,4,-2,2,-4,1.0785
15.036,4,-2,2,2,1.0785
15.65,4,-1,1,3,1.1226
15.65,4,-1,3,-4,1.1226
